               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09171,            0.030467,            0.039582,           0.0034111,             0.89832,            0.012647,           0.0026967,            0.052519,            0.021469,             0.02994,              0.0838,              0.0018,              0.0018
                   1,            0.061271,            0.030796,            0.034111,           0.0034763,             0.99074,             0.11167,            0.032118,            0.036363,            0.019023,            0.026309,            0.066676,           0.0036756,           0.0036756
                   2,            0.055248,            0.030562,            0.034045,             0.61384,             0.22584,             0.24269,            0.094551,            0.040078,            0.015393,            0.023785,            0.049526,           0.0055261,           0.0055261
                   3,            0.051967,            0.025564,            0.030613,             0.64401,             0.32849,              0.3493,                0.16,            0.041942,            0.013375,            0.021993,            0.032352,           0.0073515,           0.0073515
                   4,            0.054351,            0.022527,            0.028579,             0.80439,             0.18977,             0.33762,             0.13867,            0.047251,            0.010854,            0.019722,            0.015152,           0.0091518,           0.0091518
                   5,              0.0546,            0.019795,            0.028442,             0.44319,             0.28135,             0.28123,             0.14061,            0.040158,            0.010482,             0.01791,             0.00967,             0.00967,             0.00967
                   6,            0.054133,            0.020552,            0.025911,             0.47377,             0.38141,             0.31514,             0.15101,            0.035347,            0.010052,            0.016108,             0.00967,             0.00967,             0.00967
                   7,            0.054119,            0.020072,            0.023698,             0.42193,             0.50269,             0.35794,             0.10533,            0.048647,           0.0087255,            0.015094,            0.009604,            0.009604,            0.009604
                   8,             0.05655,            0.017931,            0.024589,             0.45648,             0.49162,             0.33757,              0.1515,             0.03381,           0.0095206,            0.016685,            0.009538,            0.009538,            0.009538
                   9,            0.047097,            0.020574,            0.024811,             0.73075,             0.36284,             0.43776,             0.21813,             0.03476,           0.0099966,            0.014482,            0.009472,            0.009472,            0.009472
                  10,            0.043225,            0.018491,            0.021341,             0.43589,             0.57912,                0.36,              0.1735,            0.036274,           0.0086378,            0.013576,            0.009406,            0.009406,            0.009406
                  11,            0.049091,            0.018336,            0.022692,              0.5245,             0.58743,             0.46081,              0.2538,            0.030843,           0.0086935,            0.013644,             0.00934,             0.00934,             0.00934
                  12,            0.045058,            0.018007,              0.0203,             0.54347,             0.63859,             0.53816,             0.26066,            0.032066,            0.008385,            0.012639,            0.009274,            0.009274,            0.009274
                  13,            0.048539,            0.019978,            0.019656,             0.86019,              0.3524,             0.53639,              0.2536,            0.029522,           0.0086712,            0.011502,            0.009208,            0.009208,            0.009208
