                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7191,                 3.1827,                 2.0471,                0.86871,                0.30992,                0.51136,                0.29482,                 1.6165,                 2.5024,                 2.1467,               0.070357,              0.0032937,              0.0032937
                      1,                 1.5882,                 2.3369,                 1.8309,                0.45245,                0.26189,                0.36089,                 0.1511,                 1.5629,                 2.6762,                 2.1045,               0.040292,              0.0065614,              0.0065614
                      2,                 1.5268,                 2.3669,                 1.7988,                0.45878,                0.30818,                0.31613,                0.19522,                 1.9045,                 2.6737,                 2.3322,                0.01016,              0.0097631,              0.0097631
                      3,                 1.5918,                 2.6875,                 1.7861,                0.42532,                0.41973,                0.45119,                0.27426,                 1.7245,                 2.3519,                 2.1568,               0.009703,               0.009703,               0.009703
                      4,                 1.6888,                 2.1883,                 1.7997,                0.68669,                0.37344,                0.42183,                0.25598,                 1.7283,                 2.1119,                 2.2477,               0.009703,               0.009703,               0.009703
                      5,                 1.6203,                 2.1569,                 1.7262,                0.78485,                0.34212,                0.40649,                0.23333,                 1.7237,                 2.1697,                 2.0683,               0.009604,               0.009604,               0.009604
                      6,                 1.6038,                 1.9709,                 1.6834,                0.80401,                0.41516,                0.53902,                 0.2831,                 1.7992,                 1.7172,                 2.1774,               0.009505,               0.009505,               0.009505
                      7,                 1.5975,                 1.9163,                 1.7312,                0.91229,                0.48978,                0.63929,                0.35969,                 1.5592,                 1.5422,                 1.9896,               0.009406,               0.009406,               0.009406
                      8,                 1.6329,                 1.8542,                 1.7895,                0.65517,                0.48529,                0.59288,                0.34483,                 1.5878,                 1.6663,                 2.0169,               0.009307,               0.009307,               0.009307
                      9,                 1.6282,                 1.7887,                 1.8036,                0.66406,                 0.5137,                0.61238,                0.34987,                 1.5809,                 1.5842,                  2.002,               0.009208,               0.009208,               0.009208
                     10,                 1.6263,                 1.7764,                 1.7767,                0.71507,                0.53578,                 0.6136,                0.32212,                 1.6785,                 1.7329,                 2.0526,               0.009109,               0.009109,               0.009109
                     11,                 1.5822,                 1.7381,                  1.768,                0.53839,                0.65232,                0.66577,                0.36672,                 1.5009,                  1.594,                 1.9677,                0.00901,                0.00901,                0.00901
                     12,                  1.556,                 1.7049,                 1.7596,                0.54885,                0.50628,                0.61615,                0.33926,                  1.586,                 1.6157,                 2.0461,               0.008911,               0.008911,               0.008911
                     13,                 1.5468,                 1.6927,                 1.7189,                0.81344,                0.63231,                  0.761,                 0.4403,                  1.418,                 1.3888,                 1.8491,               0.008812,               0.008812,               0.008812
                     14,                 1.5063,                 1.6064,                 1.6973,                0.79819,                0.71506,                0.77634,                0.41464,                 1.5869,                 1.4384,                 2.0264,               0.008713,               0.008713,               0.008713
                     15,                 1.5493,                 1.6231,                 1.7355,                0.73616,                0.64926,                0.74178,                0.41687,                 1.4481,                  1.544,                 1.9425,               0.008614,               0.008614,               0.008614
                     16,                 1.5492,                 1.5805,                 1.7261,                0.74972,                0.64843,                0.75885,                0.41666,                 1.5046,                 1.3956,                 1.9499,               0.008515,               0.008515,               0.008515
                     17,                 1.5154,                   1.55,                 1.7282,                0.77338,                0.57317,                0.72903,                0.41966,                 1.4527,                 1.4376,                 1.8628,               0.008416,               0.008416,               0.008416
                     18,                 1.4342,                  1.468,                 1.6198,                0.73055,                0.73875,                0.80853,                0.47565,                 1.3775,                 1.1329,                 1.8116,               0.008317,               0.008317,               0.008317
                     19,                 1.4866,                 1.5239,                 1.7452,                0.80886,                0.74674,                0.79043,                0.42456,                 1.6253,                 1.3448,                 2.1092,               0.008218,               0.008218,               0.008218
                     20,                 1.5157,                 1.4581,                 1.6929,                0.78413,                0.77402,                0.84024,                0.46547,                 1.5498,                 1.2356,                 1.9943,               0.008119,               0.008119,               0.008119
                     21,                 1.4493,                 1.4348,                 1.6866,                0.70494,                0.73171,                0.78086,                0.47558,                  1.399,                 1.3847,                 1.8659,                0.00802,                0.00802,                0.00802
                     22,                 1.4784,                  1.472,                 1.7079,                0.72652,                0.63646,                0.69656,                0.38994,                 1.5969,                 1.3368,                 2.0226,               0.007921,               0.007921,               0.007921
                     23,                 1.4332,                 1.3958,                 1.6764,                0.77366,                0.59446,                0.67762,                0.37792,                 1.5567,                 1.6377,                 1.9776,               0.007822,               0.007822,               0.007822
                     24,                 1.4353,                 1.3462,                 1.6524,                0.76832,                0.80256,                 0.8217,                0.49335,                  1.424,                  1.093,                 1.8621,               0.007723,               0.007723,               0.007723
                     25,                 1.4391,                 1.3065,                 1.6692,                0.74079,                0.72629,                0.80025,                0.46234,                 1.4255,                 1.2042,                  1.855,               0.007624,               0.007624,               0.007624
                     26,                 1.4404,                 1.3239,                 1.6645,                0.81549,                0.85695,                 0.8845,                0.52045,                 1.3601,                 1.0385,                 1.7982,               0.007525,               0.007525,               0.007525
